timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-09-05T09:55:29,codecarbon,3f09a920-3e1a-44c8-9465-e761876b42ab,0.024423900002148,9.727662732907529e-08,3.9828457912340005e-06,42.5,0.0,5.224797248840332,2.6531687496268814e-07,0,9.395927044285184e-09,2.747128020069733e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:55:31,codecarbon,45408724-fbf1-4b2f-afb2-a44eea102278,0.0149595999973826,5.977463516025587e-08,3.995737531131464e-06,42.5,0.0,5.224797248840332,1.66453611079002e-07,0,2.3521746959162536e-09,1.688057857749182e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:55:33,codecarbon,2c192ce7-000a-4f89-9210-cc9905347f54,0.0294427999760955,1.2459785353046482e-07,4.231861563153814e-06,42.5,0.0,5.224797248840332,3.320678469511525e-07,0,1.98011107545569e-08,3.518689577057095e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:55:35,codecarbon,6c4d56a7-150f-452f-9f46-a79a97225b26,0.0295462000067345,1.26319512804571e-07,4.275321793522636e-06,42.5,0.0,5.224797248840332,3.341113887169438e-07,0,2.2619598607566265e-08,3.5673098732451005e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:55:37,codecarbon,347db708-0692-4e0d-b23d-96aee9aee25a,0.0298077999905217,1.2545106491534737e-07,4.20866568331907e-06,42.5,0.0,5.224797248840332,3.3246333332499497e-07,0,2.181512496354641e-08,3.542784582885414e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:55:39,codecarbon,759e2a29-dfc4-43d9-a790-70b29f231904,0.0160321000148542,6.387649263985633e-08,3.984287309876613e-06,42.5,0.0,5.224797248840332,1.7715180555468477e-07,0,3.2377778147199554e-09,1.8038958336940482e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:55:42,codecarbon,21947a4d-d6db-4038-b6da-3c90a68bf9ff,0.0172339999990072,7.304223213107384e-08,4.238263440598906e-06,42.5,0.0,5.224797248840332,1.963618054610884e-07,0,9.912166041762053e-09,2.062739715028505e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:55:44,codecarbon,89a5a128-2501-412f-b1ea-c9337cb7347e,0.0147675000189337,6.107963474348797e-08,4.136084961244368e-06,42.5,0.0,5.224797248840332,1.637985416891752e-07,0,8.692611290291099e-09,1.724911529794663e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:55:46,codecarbon,c824fcad-d2d4-4443-b08a-9690731968bc,0.0218958999903406,9.2357721822416e-08,4.218037251867213e-06,42.5,0.0,5.224797248840332,2.499389583641056e-07,0,1.0882672128762342e-08,2.608216304928679e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
2024-09-05T09:55:48,codecarbon,a7f62197-6d77-45ee-9ff3-dc22dc75ff0c,0.0111971000151243,4.36713050428994e-08,3.900233541176829e-06,42.5,0.0,5.224797248840332,1.2264319444107566e-07,0,6.861900682320759e-10,1.2332938450930778e-07,Argentina,ARG,cordoba,,,Windows-10-10.0.19045-SP0,3.12.2,2.6.0,8,AMD Ryzen 5 3400G with Radeon Vega Graphics,,,-64.2997,-31.3011,13.93279266357422,machine,N,1.0
